,Hyperparameter,LSTM Units,Dense1 Units,Dense2 Units,Dropout Rate,Loss,Accuracy
0,"((32, 32, 32), 0.2)",32,32,32,0.2,0.3053448975086212,0.8860420703887939
1,"((32, 32, 32), 0.5)",32,32,32,0.5,0.40837266445159914,0.842638623714447
2,"((32, 32, 16), 0.2)",32,32,16,0.2,0.30035901069641113,0.8912428498268128
3,"((32, 32, 16), 0.5)",32,32,16,0.5,0.4143026113510132,0.8430975198745727
4,"((32, 64, 64), 0.2)",32,64,64,0.2,0.26592864990234377,0.9014149069786072
5,"((32, 64, 64), 0.5)",32,64,64,0.5,0.3829877614974976,0.8512428283691407
6,"((32, 64, 32), 0.2)",32,64,32,0.2,0.27614780366420744,0.8962524056434631
7,"((32, 64, 32), 0.5)",32,64,32,0.5,0.39091800451278685,0.8495219945907593
8,"((32, 128, 128), 0.2)",32,128,128,0.2,0.24407253861427308,0.905162513256073
9,"((32, 128, 128), 0.5)",32,128,128,0.5,0.3640348255634308,0.8559846997261047
10,"((32, 128, 64), 0.2)",32,128,64,0.2,0.25489418804645536,0.9030210256576539
11,"((32, 128, 64), 0.5)",32,128,64,0.5,0.37876887917518615,0.8495219945907593
12,"((64, 32, 32), 0.2)",64,32,32,0.2,0.2182898998260498,0.9230210304260253
13,"((64, 32, 32), 0.5)",64,32,32,0.5,0.3325343787670135,0.872772467136383
14,"((64, 32, 16), 0.2)",64,32,16,0.2,0.2257997691631317,0.9170554637908935
15,"((64, 32, 16), 0.5)",64,32,16,0.5,0.3237118422985077,0.8781644344329834
16,"((64, 64, 64), 0.2)",64,64,64,0.2,0.22801995575428008,0.9129636645317077
17,"((64, 64, 64), 0.5)",64,64,64,0.5,0.30394768714904785,0.8793116569519043
18,"((64, 64, 32), 0.2)",64,64,32,0.2,0.22446248829364776,0.9143785953521728
19,"((64, 64, 32), 0.5)",64,64,32,0.5,0.33256553411483764,0.8721223711967468
20,"((64, 128, 128), 0.2)",64,128,128,0.2,0.2086826890707016,0.9202294468879699
21,"((64, 128, 128), 0.5)",64,128,128,0.5,0.29695277810096743,0.8834416747093201
22,"((64, 128, 64), 0.2)",64,128,64,0.2,0.19967465698719025,0.9255066752433777
23,"((64, 128, 64), 0.5)",64,128,64,0.5,0.2947747051715851,0.8840535283088684
24,"((128, 32, 32), 0.2)",128,32,32,0.2,0.1839587926864624,0.9320458889007568
25,"((128, 32, 32), 0.5)",128,32,32,0.5,0.2564235329627991,0.9027533531188965
26,"((128, 32, 16), 0.2)",128,32,16,0.2,0.20553883612155915,0.9258508563041687
27,"((128, 32, 16), 0.5)",128,32,16,0.5,0.271892124414444,0.8991204738616944
28,"((128, 64, 64), 0.2)",128,64,64,0.2,0.2025632917881012,0.9240917801856995
29,"((128, 64, 64), 0.5)",128,64,64,0.5,0.2586124300956726,0.8957934975624084
30,"((128, 64, 32), 0.2)",128,64,32,0.2,0.21354533731937408,0.9193116664886475
31,"((128, 64, 32), 0.5)",128,64,32,0.5,0.2566580832004547,0.904015302658081
32,"((128, 128, 128), 0.2)",128,128,128,0.2,0.1693227171897888,0.9351816415786743
33,"((128, 128, 128), 0.5)",128,128,128,0.5,0.25302414894104003,0.8982791543006897
34,"((128, 128, 64), 0.2)",128,128,64,0.2,0.17982457876205443,0.9336137652397156
35,"((128, 128, 64), 0.5)",128,128,64,0.5,0.2688380807638168,0.8989292502403259
36,"((256, 128, 128), 0.2)",256,128,128,0.2,0.14443379193544387,0.9453154802322388
37,"((256, 128, 128), 0.5)",256,128,128,0.5,0.21493945717811586,0.9137667298316956
38,"((256, 128, 64), 0.2)",256,128,64,0.2,0.18485881090164186,0.9283747673034668
39,"((256, 128, 64), 0.5)",256,128,64,0.5,0.22487823367118837,0.912848961353302
40,"((256, 256, 256), 0.2)",256,256,256,0.2,0.17218225300312043,0.9350286722183228
41,"((256, 256, 256), 0.5)",256,256,256,0.5,0.22785333096981047,0.9079541087150573
42,"((256, 256, 128), 0.2)",256,256,128,0.2,0.17289001643657684,0.9339196920394898
43,"((256, 256, 128), 0.5)",256,256,128,0.5,0.22437209784984588,0.9107457041740418
44,"((512, 256, 256), 0.2)",512,256,256,0.2,0.1469757676124573,0.9464244723320008
45,"((512, 256, 256), 0.5)",512,256,256,0.5,0.20456608533859252,0.9220267534255981
46,"((512, 256, 128), 0.2)",512,256,128,0.2,0.16510923206806183,0.9376673102378845
47,"((512, 256, 128), 0.5)",512,256,128,0.5,0.19787653386592866,0.9296367168426514
48,"((512, 512, 256), 0.2)",512,512,256,0.2,0.14514606148004533,0.9466156721115112
49,"((512, 512, 256), 0.5)",512,512,256,0.5,0.24582613110542298,0.908833646774292
50,"((1024, 512, 512), 0.2)",1024,512,512,0.2,0.1600381016731262,0.9402676820755005
51,"((1024, 512, 512), 0.5)",1024,512,512,0.5,0.230224084854126,0.9099426507949829
52,"((1024, 1024, 512), 0.2)",1024,1024,512,0.2,0.15544745475053787,0.9415678739547729
53,"((1024, 1024, 512), 0.5)",1024,1024,512,0.5,0.21112258732318878,0.9188145279884339
