Size of L1,Size of L2,Size of L3,Learning rate,Accuracy
896,640,768,0.001,0.852
640,1024,640,0.01,0.109
512,1024,1024,0.01,0.118
768,768,640,0.0001,0.899
1024,896,896,0.0001,0.905
512,896,640,0.001,0.876
512,640,1024,0.001,0.871
1024,512,640,0.001,0.906
768,512,768,0.0001,0.886
1024,768,512,0.001,0.841
512,768,1024,0.01,0.11
640,896,768,0.01,0.109
1024,512,640,0.0001,0.908
1024,896,896,0.0001,0.964
768,768,640,0.0001,0.921
768,512,768,0.0001,0.9
768,768,640,0.0001,0.957
768,512,512,0.01,0.78
1024,896,896,0.01,0.806
1024,896,896,0.001,0.915
896,512,512,0.001,0.904
896,896,640,0.01,0.794
640,512,512,0.0001,0.919
640,768,512,0.001,0.911
640,512,512,0.0001,0.952
640,768,512,0.001,0.93
512,1024,1024,0.001,0.937
896,512,640,0.01,0.826
512,512,512,0.01,0.795
896,768,512,0.001,0.942
