,Hyperparameter,Dense Units,Activation,Loss,Accuracy
0,"(64, 'relu')",64,relu,0.019189564138650896,0.993728494644165
1,"(64, 'sigmoid')",64,sigmoid,0.021980058029294015,0.9933078408241272
2,"(64, 'tanh')",64,tanh,0.020493672415614127,0.9930401563644409
3,"(64, 'leaky_relu')",64,leaky_relu,0.020969970524311064,0.9931548833847046
4,"(128, 'relu')",128,relu,0.020436981320381166,0.9935372829437256
5,"(128, 'sigmoid')",128,sigmoid,0.01990571543574333,0.9939196944236756
6,"(128, 'tanh')",128,tanh,0.019150815159082412,0.9937667369842529
7,"(128, 'leaky_relu')",128,leaky_relu,0.02109023630619049,0.9928106904029846
8,"(256, 'relu')",256,relu,0.02063594087958336,0.9931166291236877
9,"(256, 'sigmoid')",256,sigmoid,0.02153462842106819,0.9926195025444031
10,"(256, 'tanh')",256,tanh,0.0190067945048213,0.9934225678443909
11,"(256, 'leaky_relu')",256,leaky_relu,0.020304234698414803,0.9928871870040894
